id,name,template,reference,icon_path
321,vcard+xml,application/vcard+xml,[RFC6351],NULL
322,vemmi,application/vemmi,[RFC2122],NULL
323,vnd.3gpp.access-transfer-events+xml,application/vnd.3gpp.access-transfer-events+xml,[Frederic_Firmin],NULL
324,vnd.3gpp.bsf+xml,application/vnd.3gpp.bsf+xml,[John_M_Meredith],NULL
325,vnd.3gpp.mid-call+xml,application/vnd.3gpp.mid-call+xml,[Frederic_Firmin],NULL
326,vnd.3gpp.pic-bw-large,application/vnd.3gpp.pic-bw-large,[John_M_Meredith],NULL
327,vnd.3gpp.pic-bw-small,application/vnd.3gpp.pic-bw-small,[John_M_Meredith],NULL
328,vnd.3gpp.pic-bw-var,application/vnd.3gpp.pic-bw-var,[John_M_Meredith],NULL
329,vnd.3gpp-prose-pc3ch+xml,application/vnd.3gpp-prose-pc3ch+xml,[Frederic_Firmin],NULL
330,vnd.3gpp-prose+xml,application/vnd.3gpp-prose+xml,[Frederic_Firmin],NULL
331,vnd.3gpp.sms,application/vnd.3gpp.sms,[John_M_Meredith],NULL
332,vnd.3gpp.sms+xml,application/vnd.3gpp.sms+xml,[Frederic_Firmin],NULL
333,vnd.3gpp.srvcc-ext+xml,application/vnd.3gpp.srvcc-ext+xml,[Frederic_Firmin],NULL
334,vnd.3gpp.SRVCC-info+xml,application/vnd.3gpp.SRVCC-info+xml,[Frederic_Firmin],NULL
335,vnd.3gpp.state-and-event-info+xml,application/vnd.3gpp.state-and-event-info+xml,[Frederic_Firmin],NULL
336,vnd.3gpp.ussd+xml,application/vnd.3gpp.ussd+xml,[Frederic_Firmin],NULL
337,vnd.3gpp2.bcmcsinfo+xml,application/vnd.3gpp2.bcmcsinfo+xml,[Andy_Dryden],NULL
338,vnd.3gpp2.sms,application/vnd.3gpp2.sms,[AC_Mahendran],NULL
339,vnd.3gpp2.tcap,application/vnd.3gpp2.tcap,[AC_Mahendran],NULL
340,vnd.3lightssoftware.imagescal,application/vnd.3lightssoftware.imagescal,[Gus_Asadi],NULL
341,vnd.3M.Post-it-Notes,application/vnd.3M.Post-it-Notes,[Michael_OBrien],NULL
342,vnd.accpac.simply.aso,application/vnd.accpac.simply.aso,[Steve_Leow],NULL
343,vnd.accpac.simply.imp,application/vnd.accpac.simply.imp,[Steve_Leow],NULL
